招式 	等級 	說明 	結印 	主要使用者
雷遁·草薙劍·千鳥刀 	B 	雷遁査克拉刀，施展在劍上；附加「千鳥刀」的草薙劍威力和鋒利度整個都加倍了 		宇智波佐助
雷遁·雷球 		用「牙」施展雷電彈攻擊敵人。 紗羅妲在慕留人傳裡模仿敵人的結印使出。 	酉-巳-申-未 	黑鋤雷牙、黑鋤文淡、宇智波紗羅妲
雷遁·雷擊鎧甲 		以雷覆蓋全身形成鎧甲。 		黑鋤雷牙、黑鋤文淡、第三代雷影、第四代雷影
雷遁·雷擊龍捲風 		召喚雷電並旋轉製造龍捲風一同攻擊敵人。 		黑鋤雷牙
雷遁·雷之牙 		將空中的雷電打在「牙」上進行戰鬥。 		
雷遁·雷葬雷之宴 		用「牙」施展幾個雷電通過地面切割，直到他們擊中敵人。 紗羅妲在慕留人傳中模仿敵人結印使出。 	卯-亥-未 	黑鋤雷牙、黑鋤文淡、宇智波紗羅妲
雷遁·雷龍龍捲 		用「牙」施展巨大的雷電龍，威力十分強大。 		
雷遁·避雷針 		讓自己的身體做指引，引來雷電對倒下的敵人作攻擊。 		不風
雷遁·地走 		電從地上攻擊，可以配合水遁‧邪之口。 		不風
雷遁·雷擊走 		為北子的忍術，雷遁.地走的進化招。地走的力量集中在鐵棒上，再打入地上，集中後的雷電會攻向敵人。 		北子
雷遁·偽暗 	B 	破壞力強大的雷鳴電流，集結的電流長矛足以摧毀岩石。 		角都
雷遁·影分身 		將雷系查克拉塑造成影分身之型態，當對手近距離破解之時會還原成雷切反擊對手 		旗木卡卡西
雷遁·雷縛 		為北子的忍術，讓分裂成三支菱形的長棍，在地面上形成一個三角陣型，將敵人包圍在三角陣型的裡面，三支長棍之間瞬間形成三個透明的結界，將敵人束縛在裡面，是一種屬於雷遁的反擊結界。 		北子
雷遁·四柱束縛 		在攻擊目標周圍召出四個向中間集中雷屬性攻擊的柱子 		木葉暗部
雷遁·充電之術 		能吸收附近的雷電能量，儲存在自己的體內 		
雷遁·雷夢雷人 		施術者需要站在東、南、西、北，四個方位，一同施術，中心點就會被雷電燒盡。 		
雷遁·麒麟 	S 	在滂沱大雨中引導雷電將對手擊斃。其威力之大、範圍之廣足以山崩地裂，由於落雷只有千分之一秒的時間，比音速還快，因此可說無法閃避。 		宇智波佐助
雷遁·雷神鎧甲 		將雷遁系的查克拉覆蓋在身體上，進行高速移動。 		第三代雷影、第四代雷影
雷遁·雷扇 		配合雷刀「牙」釋放長鏈狀雷電使數個敵人身中雷電。 		林檎雨由利
雷遁·閃電之門 		配合雷刀「牙」將其插入地面，向地面與天空雷電，召喚天空降下數道閃電大範圍攻擊。 		林檎雨由利
雷遁·爆雷 		配合雷刀「牙」釋放強力雷電。 		林檎雨由利
雷遁·黑斑差 	A 	從自身形成大型豹狀的黑色雷電，可同時集中攻擊單體及周圍複數體的廣範圍遠距攻擊術，周圍中招者動彈不得、痛苦難當。 		懶
雷遁·雷虎通殺 		把雷聚予手心，創造出虎狀的雷電，瞬間移動到敵人身邊，將其無聲無色地咬殺。 		
雷遁·地獄突刺·四本貫手 	S 	將雷屬性查克拉聚集在手指上並進行突刺攻擊，隨著伸出手指數目的減少，而變成三本貫手,二本貫手,以此類推,力量也將更為集中。 		第三代雷影
雷遁·雷光狼煙 		在劇場版「血獄」麻呂伊將手掌對著天之後，再從掌心射出一道直達天際的雷電，當作狼煙使用。 		麻呂伊
雷遁·雷魚 		把雷遁形成魚形狀，能夠在水中快速移動給予強大傷害。 		黑鋤文淡 
颶風水渦之術 	B 	風遁·螺旋丸＋水遁·破奔流。形成巨大的水龍捲，曾經用於對付角都的火遁·頭刻苦。 		鳴人+大和
炎風亂波 		風遁·壓害＋火遁·頭刻苦。利用風加強火遁的威力形成威力巨大的火柱。 		遊戲原創　角都：火、風地怨虞
風遁·蝦蟆鐵砲 		見上方風遁部分。 		鳴人+蝦蟆龍
風遁·蝦蟆油炎彈 		見上方風遁部分。 		鳴人+蝦蟆吉+蝦蟆龍
炎風龍捲 		風遁·大突破＋火遁·頭刻苦。利用風加強火形成威力巨大的火焰龍捲風 		遊戲劇情原創 角都+大蛇丸
火遁·泥漿炎彈 		土遁·土龍彈＋火遁·火龍彈。利用火跟土的融合，造成加成的傷害。 		第三代火影 
螺旋丸 	A 	第四代火影自創的忍術，先將查克拉集中在手上，這時查克拉要以不規則的方向不停流動，加以壓縮，維持成手掌般大小的球狀，再襲向對方，是參考尾獸玉研發而成。此術無帶有任何查克拉屬性。 	無 	第四代火影、自來也、旗木卡卡西、漩渦鳴人、猿飛木葉丸、漩渦慕留人
大玉螺旋丸 	A 	在螺旋丸中加入更多的查克拉，令破壞力更強，大小約為螺旋丸三倍，更易命中敵人。 	無 	自來也、第四代火影、漩渦鳴人、猿飛木葉丸
螺旋連丸 		令影分身協助，雙手各有一個螺旋丸向敵人攻擊。但需要極大量查克拉。 	無 	漩渦鳴人
風遁·螺旋丸 	A 	鳴人將風屬性查克拉加入螺旋丸後開發出的術。 	無 	漩渦鳴人
風遁‧螺旋手裡劍 	S 	風遁.螺旋丸的加強版，為禁術，因為其破壞力會對施術者的手造成嚴重反傷，屬S級的超高難度忍術，破壞力驚人，需要3個影分身才能使出，可把對手體內所有的經脈系統及細胞擊潰，甚至把查克拉化成無數細小的風刃，在細胞尺度上進行微觀世界的破壞攻擊。但此招的完成度卻只有50％，所以施術者才會受傷，如果已經100％完成的此招了話，施術者就不會受傷，並且將高密度的風屬性查克拉維持旋轉並拋出，可以進行遠距離投擲的攻擊奧義，命中目標後會迅速膨脹成一個巨大的高速球狀漩渦，攻擊目標會被漩渦完全削至無影無蹤！簡單的說就是只有完成50％是禁術，而完成100％是奧義。 	無 	漩渦鳴人
風遁‧龍捲螺旋丸 		出現於《羈絆》中，擁有比螺旋丸更強的威力。是在颱風外圍製造出龍捲風來增強威力的原理，這是要有超越螺旋丸的形態變化的能力才能施展的忍術。 	無 	漩渦鳴人
風遁‧太極螺旋丸 		《失落之塔》出現的忍術，號稱最強的螺旋丸，是由鳴人與第四代火影的螺旋丸結合產生的。 	無 	漩渦鳴人與第四代火影
風遁‧迷你螺旋手裡劍 	S 	迷你的螺旋手裡劍，由尾獸狀態的鳴人使出，可切割任何東西。 	無 	漩渦鳴人
熔遁‧螺旋手裡劍 		在螺旋手裡劍中加入四尾孫悟空的血繼限界熔遁查克拉，形成帶有熔岩的螺旋手裡劍。 	無 	漩渦鳴人
惑星螺旋丸 		一個螺旋丸周圍環繞著3顆小螺旋丸而成，會隨機旋轉，威力強大 	無 	漩渦鳴人
仙法·超大玉螺旋丸 		混入自然查克拉，令破壞力更強的巨大螺旋丸。 	無 	漩渦鳴人與自來也
螺旋亂丸 		鳴人九尾化使用的術。 	無 	漩渦鳴人
螺旋吸丸 		鳴人九尾化使用的術。能把敵人整個吸過來。 	無 	漩渦鳴人
火遁·豪炎螺旋丸 		注入火屬性查克拉，命中有爆炸效果。 	無 	自來也、火影忍者疾風傳·究極風暴2
千鳥

旗木卡卡西自創的忍術，將查克拉放出自手掌放出已決定威力及攻擊範圍，並混入雷屬性的性質變化。
招式 	等級 	說明 	結印 	使用者
雷遁·千鳥 	A 	卡卡西獨創忍術。將查克拉集中於手掌，以達一擊殺敵之效，攻擊力之強足以貫穿人體。 	丑-卯-申 	旗木卡卡西、宇智波佐助
雷遁·雷切 	S 	卡卡西獨創忍術。由於卡卡西曾以千鳥斬斷過真正的雷電，因此又稱為雷切。 	丑-卯-申 	旗木卡卡西
雷遁·雷切 雙穿光 	S 	將查克拉集中於雙手上，並造出兩個雷切給予敵人雙重傷害。 	丑-卯-申 	旗木卡卡西
雷遁·雷傳 	S 	卡卡西在第四次忍界大戰時對付鳶時所使用，影分身與本體共同使用的雷切連接，拉出一道極長的雷線再拖向敵人，可以說是雷切的大範圍版本。 	丑-卯-申 	旗木卡卡西
雷遁·雷獸追牙 	C 	卡卡西在對付培因時所使用的招式，將雷切形態變化成雷犬再攻擊對手 	丑-卯-申 	旗木卡卡西
雷遁·千鳥流 	C 	將雷系查克拉從全身散發出來，攻擊範圍擴大至四周圍但殺傷力不如千鳥強大，其釋出的雷電足以使人麻痹暈厥。 	無 	宇智波佐助
雷遁·千鳥銳槍 	A 	貫穿一切的雷電長槍，「千鳥刀」伸長的形態變化。 	無 	宇智波佐助
雷遁·千鳥千本 	B 	査克拉箭，這時「千鳥」可變粗或極細的雷之千本。 	無 	宇智波佐助
通靈之術
〈口寄せの術〉 	C 	能從別的空間通靈出與施術者有通靈契約的動物的通靈術。 	亥－戌－酉－申－未 	火影忍者通靈術列表
通靈之術·穢土轉生
〈口寄せ・穢土転生〉 	S級禁術 	以亡者的靈魂信息（血肉）為媒介、活人為祭品，以塵埃覆蓋於祭品之上並將死者的靈魂從亡者的國度召喚回現世的轉生之術。穢土轉生的身軀擁有不死之身、無限的查克拉，但會受到召喚者的控制。除此之外若穢土轉生的身軀被陰陽遁術擊中的部分將無法再生。（陰陽遁術，為同時混合四種查克拉性質變化的血繼，正式名稱及相關資料尚不詳） 	寅－巳－戌－辰，最後雙手合十 	大蛇丸、
藥師兜
通靈之術·穢土轉生·解
〈口寄せ・穢土転生・解〉 	S級禁術 	由穢土轉生的召喚者將穢土轉生的通靈契約解除的術，並將所有亡者的靈魂解放送回亡者的國度。 	子－丑－申－寅－辰－亥 	藥師兜
穢土轉生 · 解
〈穢土転生・解〉 	S級禁術 	動畫560話首次出現，由穢土轉生的亡者施術，解除與召喚者的通靈契約後脫離召喚者的掌控，並成為不死之身，擁有無限的查克拉。 	巳－未－亥－戌－寅 	宇智波斑
